../data/final/netrd/SIS/timeseries_bull_5k_0.2_dontdie.pickle
../data/final/netrd/SIS/edges_bull.pickle
SEED: 0
NUM_RUNS: 1
BATCH_SIZE: 100
NUM_DYN_EPOCHS: 40
FORMAT: timeseries
HIDDEN_SIZE: 128
USE_TESTSET: True
tensor([[0., 1., 1., 0., 0.],
        [1., 0., 1., 1., 0.],
        [1., 1., 0., 0., 1.],
        [0., 1., 0., 0., 0.],
        [0., 0., 1., 0., 0.]])
num samples: 5000
NUM_TRAIN_SAMPLES: 3999
NUM_TRAIN_BATCHES: 40
NUM_TEST_SAMPLES: 1000
NUM_TEST_BATCHES: 10
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 40
IS_CONTINUOUS: False
USE_MAX: False
evaluating: matrix 196, run 0. Mean loss in evaluation epoch: 0.44744205474853516, epochs needed: 40
evaluating: matrix 197, run 0. Mean loss in evaluation epoch: 0.4444524943828583, epochs needed: 40
evaluating: matrix 198, run 0. Mean loss in evaluation epoch: 0.44707345962524414, epochs needed: 40
evaluating: matrix 199, run 0. Mean loss in evaluation epoch: 0.44026729464530945, epochs needed: 40
evaluating: matrix 200, run 0. Mean loss in evaluation epoch: 0.44748735427856445, epochs needed: 40
evaluating: matrix 201, run 0. Mean loss in evaluation epoch: 0.4458315074443817, epochs needed: 40
evaluating: matrix 202, run 0. Mean loss in evaluation epoch: 0.44682151079177856, epochs needed: 40
evaluating: matrix 203, run 0. Mean loss in evaluation epoch: 0.44323378801345825, epochs needed: 40
evaluating: matrix 204, run 0. Mean loss in evaluation epoch: 0.4449053406715393, epochs needed: 40
evaluating: matrix 205, run 0. Mean loss in evaluation epoch: 0.44146376848220825, epochs needed: 40
evaluating: matrix 206, run 0. Mean loss in evaluation epoch: 0.4483911693096161, epochs needed: 40
evaluating: matrix 207, run 0. Mean loss in evaluation epoch: 0.4414501190185547, epochs needed: 40
evaluating: matrix 208, run 0. Mean loss in evaluation epoch: 0.44825440645217896, epochs needed: 40
evaluating: matrix 209, run 0. Mean loss in evaluation epoch: 0.44271907210350037, epochs needed: 40
evaluating: matrix 210, run 0. Mean loss in evaluation epoch: 0.44148537516593933, epochs needed: 40
evaluating: matrix 211, run 0. Mean loss in evaluation epoch: 0.43666839599609375, epochs needed: 40
evaluating: matrix 212, run 0. Mean loss in evaluation epoch: 0.446859747171402, epochs needed: 40
evaluating: matrix 213, run 0. Mean loss in evaluation epoch: 0.4423826336860657, epochs needed: 40
evaluating: matrix 214, run 0. Mean loss in evaluation epoch: 0.44365769624710083, epochs needed: 40
evaluating: matrix 215, run 0. Mean loss in evaluation epoch: 0.4383019506931305, epochs needed: 40
evaluating: matrix 216, run 0. Mean loss in evaluation epoch: 0.44816461205482483, epochs needed: 40
evaluating: matrix 217, run 0. Mean loss in evaluation epoch: 0.4406681954860687, epochs needed: 40
evaluating: matrix 218, run 0. Mean loss in evaluation epoch: 0.4471663534641266, epochs needed: 40
evaluating: matrix 219, run 0. Mean loss in evaluation epoch: 0.4398023784160614, epochs needed: 40
evaluating: matrix 220, run 0. Mean loss in evaluation epoch: 0.4458332061767578, epochs needed: 40
evaluating: matrix 221, run 0. Mean loss in evaluation epoch: 0.44101664423942566, epochs needed: 40
evaluating: matrix 222, run 0. Mean loss in evaluation epoch: 0.44118937849998474, epochs needed: 40
evaluating: matrix 223, run 0. Mean loss in evaluation epoch: 0.43780240416526794, epochs needed: 40
evaluating: matrix 224, run 0. Mean loss in evaluation epoch: 0.4479188024997711, epochs needed: 40
evaluating: matrix 225, run 0. Mean loss in evaluation epoch: 0.4456426799297333, epochs needed: 40
evaluating: matrix 226, run 0. Mean loss in evaluation epoch: 0.4485445022583008, epochs needed: 40
evaluating: matrix 227, run 0. Mean loss in evaluation epoch: 0.44464561343193054, epochs needed: 40
evaluating: matrix 228, run 0. Mean loss in evaluation epoch: 0.45074406266212463, epochs needed: 40
evaluating: matrix 229, run 0. Mean loss in evaluation epoch: 0.4469834268093109, epochs needed: 40
evaluating: matrix 230, run 0. Mean loss in evaluation epoch: 0.4448959529399872, epochs needed: 40
evaluating: matrix 231, run 0. Mean loss in evaluation epoch: 0.44589290022850037, epochs needed: 40
evaluating: matrix 232, run 0. Mean loss in evaluation epoch: 0.4502098560333252, epochs needed: 40
evaluating: matrix 233, run 0. Mean loss in evaluation epoch: 0.4459245800971985, epochs needed: 40
evaluating: matrix 234, run 0. Mean loss in evaluation epoch: 0.4393032193183899, epochs needed: 40
evaluating: matrix 235, run 0. Mean loss in evaluation epoch: 0.44775715470314026, epochs needed: 40
evaluating: matrix 236, run 0. Mean loss in evaluation epoch: 0.45070621371269226, epochs needed: 40
