../data/final/netrd/SIS/timeseries_bull_200_0.2_dontdie.pickle
../data/final/netrd/SIS/edges_bull.pickle
SEED: 0
NUM_RUNS: 1
BATCH_SIZE: 100
NUM_DYN_EPOCHS: 1000
FORMAT: timeseries
HIDDEN_SIZE: 128
USE_TESTSET: True
tensor([[0., 1., 1., 0., 0.],
        [1., 0., 1., 1., 0.],
        [1., 1., 0., 0., 1.],
        [0., 1., 0., 0., 0.],
        [0., 0., 1., 0., 0.]])
num samples: 200
NUM_TRAIN_SAMPLES: 159
NUM_TRAIN_BATCHES: 2
NUM_TEST_SAMPLES: 40
NUM_TEST_BATCHES: 1
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 1000
IS_CONTINUOUS: False
USE_MAX: False
evaluating: matrix 153, run 0. Mean loss in evaluation epoch: 0.47713470458984375, epochs needed: 1000
evaluating: matrix 154, run 0. Mean loss in evaluation epoch: 0.4545045793056488, epochs needed: 1000
evaluating: matrix 155, run 0. Mean loss in evaluation epoch: 0.4744567573070526, epochs needed: 1000
evaluating: matrix 156, run 0. Mean loss in evaluation epoch: 0.47198355197906494, epochs needed: 1000
evaluating: matrix 157, run 0. Mean loss in evaluation epoch: 0.46774962544441223, epochs needed: 1000
evaluating: matrix 158, run 0. Mean loss in evaluation epoch: 0.4697510004043579, epochs needed: 1000
evaluating: matrix 159, run 0. Mean loss in evaluation epoch: 0.487395703792572, epochs needed: 1000
evaluating: matrix 160, run 0. Mean loss in evaluation epoch: 0.44781428575515747, epochs needed: 1000
evaluating: matrix 161, run 0. Mean loss in evaluation epoch: 0.4527597725391388, epochs needed: 1000
evaluating: matrix 162, run 0. Mean loss in evaluation epoch: 0.44360896944999695, epochs needed: 1000
evaluating: matrix 163, run 0. Mean loss in evaluation epoch: 0.45459747314453125, epochs needed: 1000
evaluating: matrix 164, run 0. Mean loss in evaluation epoch: 0.44988125562667847, epochs needed: 1000
evaluating: matrix 165, run 0. Mean loss in evaluation epoch: 0.46233558654785156, epochs needed: 1000
evaluating: matrix 166, run 0. Mean loss in evaluation epoch: 0.46166110038757324, epochs needed: 1000
evaluating: matrix 167, run 0. Mean loss in evaluation epoch: 0.4479062557220459, epochs needed: 1000
evaluating: matrix 168, run 0. Mean loss in evaluation epoch: 0.45081859827041626, epochs needed: 1000
evaluating: matrix 169, run 0. Mean loss in evaluation epoch: 0.4520333409309387, epochs needed: 1000
evaluating: matrix 170, run 0. Mean loss in evaluation epoch: 0.4648861587047577, epochs needed: 1000
evaluating: matrix 171, run 0. Mean loss in evaluation epoch: 0.4566318988800049, epochs needed: 1000
evaluating: matrix 172, run 0. Mean loss in evaluation epoch: 0.4473593235015869, epochs needed: 1000
evaluating: matrix 173, run 0. Mean loss in evaluation epoch: 0.47180110216140747, epochs needed: 1000
evaluating: matrix 174, run 0. Mean loss in evaluation epoch: 0.4669465720653534, epochs needed: 1000
evaluating: matrix 175, run 0. Mean loss in evaluation epoch: 0.4649738073348999, epochs needed: 1000
