../data/final/cml/timeseries_bull_5k_4_onetake.pickle
../data/final/cml/edges_bull.pickle
SEED: 0
NUM_RUNS: 1
BATCH_SIZE: 100
NUM_DYN_EPOCHS: 10
FORMAT: standard
HIDDEN_SIZE: 128
tensor([[0., 1., 1., 0., 0.],
        [1., 0., 1., 1., 0.],
        [1., 1., 0., 0., 1.],
        [0., 1., 0., 0., 0.],
        [0., 0., 1., 0., 0.]])
num samples: 4991
NUM_SAMPLES: 4991
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 10
IS_CONTINUOUS: True
NUM_BATCHES: 50
USE_MAX: False
evaluating: matrix 130, run 0. Mean loss in evaluation epoch: 0.1799563616514206, epochs needed: 10
evaluating: matrix 131, run 0. Mean loss in evaluation epoch: 0.20928753912448883, epochs needed: 10
evaluating: matrix 132, run 0. Mean loss in evaluation epoch: 0.20541954040527344, epochs needed: 10
evaluating: matrix 133, run 0. Mean loss in evaluation epoch: 0.20866481959819794, epochs needed: 10
evaluating: matrix 134, run 0. Mean loss in evaluation epoch: 0.20493163168430328, epochs needed: 10
evaluating: matrix 135, run 0. Mean loss in evaluation epoch: 0.19247688353061676, epochs needed: 10
evaluating: matrix 136, run 0. Mean loss in evaluation epoch: 0.1850690245628357, epochs needed: 10
evaluating: matrix 137, run 0. Mean loss in evaluation epoch: 0.1986677199602127, epochs needed: 10
evaluating: matrix 138, run 0. Mean loss in evaluation epoch: 0.14606904983520508, epochs needed: 10
evaluating: matrix 139, run 0. Mean loss in evaluation epoch: 0.1969703882932663, epochs needed: 10
evaluating: matrix 140, run 0. Mean loss in evaluation epoch: 0.1547379046678543, epochs needed: 10
evaluating: matrix 141, run 0. Mean loss in evaluation epoch: 0.19040462374687195, epochs needed: 10
evaluating: matrix 142, run 0. Mean loss in evaluation epoch: 0.17663180828094482, epochs needed: 10
evaluating: matrix 143, run 0. Mean loss in evaluation epoch: 0.190891832113266, epochs needed: 10
evaluating: matrix 144, run 0. Mean loss in evaluation epoch: 0.2251920849084854, epochs needed: 10
evaluating: matrix 145, run 0. Mean loss in evaluation epoch: 0.20888108015060425, epochs needed: 10
evaluating: matrix 146, run 0. Mean loss in evaluation epoch: 0.16992145776748657, epochs needed: 10
evaluating: matrix 147, run 0. Mean loss in evaluation epoch: 0.19753947854042053, epochs needed: 10
evaluating: matrix 148, run 0. Mean loss in evaluation epoch: 0.20344871282577515, epochs needed: 10
evaluating: matrix 149, run 0. Mean loss in evaluation epoch: 0.20014485716819763, epochs needed: 10
evaluating: matrix 150, run 0. Mean loss in evaluation epoch: 0.1872258335351944, epochs needed: 10
evaluating: matrix 151, run 0. Mean loss in evaluation epoch: 0.19144988059997559, epochs needed: 10
evaluating: matrix 152, run 0. Mean loss in evaluation epoch: 0.2029288113117218, epochs needed: 10
evaluating: matrix 153, run 0. Mean loss in evaluation epoch: 0.19644148647785187, epochs needed: 10
evaluating: matrix 154, run 0. Mean loss in evaluation epoch: 0.17695429921150208, epochs needed: 10
evaluating: matrix 155, run 0. Mean loss in evaluation epoch: 0.18525917828083038, epochs needed: 10
evaluating: matrix 156, run 0. Mean loss in evaluation epoch: 0.16261906921863556, epochs needed: 10
evaluating: matrix 157, run 0. Mean loss in evaluation epoch: 0.1947586089372635, epochs needed: 10
evaluating: matrix 158, run 0. Mean loss in evaluation epoch: 0.17256729304790497, epochs needed: 10
evaluating: matrix 159, run 0. Mean loss in evaluation epoch: 0.16730159521102905, epochs needed: 10
evaluating: matrix 160, run 0. Mean loss in evaluation epoch: 0.1876622885465622, epochs needed: 10
evaluating: matrix 161, run 0. Mean loss in evaluation epoch: 0.1953694373369217, epochs needed: 10
evaluating: matrix 162, run 0. Mean loss in evaluation epoch: 0.15060287714004517, epochs needed: 10
evaluating: matrix 163, run 0. Mean loss in evaluation epoch: 0.17673440277576447, epochs needed: 10
evaluating: matrix 164, run 0. Mean loss in evaluation epoch: 0.19326965510845184, epochs needed: 10
evaluating: matrix 165, run 0. Mean loss in evaluation epoch: 0.18914538621902466, epochs needed: 10
evaluating: matrix 166, run 0. Mean loss in evaluation epoch: 0.184407040476799, epochs needed: 10
evaluating: matrix 167, run 0. Mean loss in evaluation epoch: 0.18257611989974976, epochs needed: 10
evaluating: matrix 168, run 0. Mean loss in evaluation epoch: 0.15795551240444183, epochs needed: 10
evaluating: matrix 169, run 0. Mean loss in evaluation epoch: 0.1782403141260147, epochs needed: 10
evaluating: matrix 170, run 0. Mean loss in evaluation epoch: 0.16671058535575867, epochs needed: 10
evaluating: matrix 171, run 0. Mean loss in evaluation epoch: 0.1787041425704956, epochs needed: 10
evaluating: matrix 172, run 0. Mean loss in evaluation epoch: 0.16404521465301514, epochs needed: 10
evaluating: matrix 173, run 0. Mean loss in evaluation epoch: 0.16596779227256775, epochs needed: 10
