num samples: 1000
NUM_TRAIN_SAMPLES: 1000
NUM_TRAIN_BATCHES: 10
NUM_TEST_SAMPLES: 1000
NUM_TEST_BATCHES: 10
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 50
IS_CONTINUOUS: True
USE_MAX: False
../data/final/cml/timeseries_ba20_1k_4_restart.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 50
NUM_DYN_EPOCHS_INIT: 200
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 5
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: standard
--------------------- Start training ------------------------
evaluating individudal 13 - c401fa2887e35855. Mean loss in evaluation epoch: 0.10481412708759308, epochs needed: 50
evaluating individudal 14 - 161c5c8116d23ba4. Mean loss in evaluation epoch: 0.10389073193073273, epochs needed: 50
evaluating individudal 15 - 2438f51d8ae24dff. Mean loss in evaluation epoch: 0.10427077114582062, epochs needed: 50
evaluating individudal 16 - 5f036b26bcdf467c. Mean loss in evaluation epoch: 0.10779953002929688, epochs needed: 50
evaluating individudal 17 - eb12fbe100d10084. Mean loss in evaluation epoch: 0.10662590712308884, epochs needed: 50
evaluating individudal 18 - a5d1b1cb53987e9a. Mean loss in evaluation epoch: 0.10493504256010056, epochs needed: 50
evaluating individudal 19 - a91daad15100fb13. Mean loss in evaluation epoch: 0.10348647832870483, epochs needed: 50
evaluating individudal 20 - 5ff79f9d4dd0b77a. Mean loss in evaluation epoch: 0.10584912449121475, epochs needed: 50
evaluating individudal 21 - 3d25735ceed332cf. Mean loss in evaluation epoch: 0.10379668325185776, epochs needed: 50
evaluating individudal 22 - e64daae1e8ce17f6. Mean loss in evaluation epoch: 0.10401838272809982, epochs needed: 50
evaluating individudal 23 - 1940acd3c7e433bc. Mean loss in evaluation epoch: 0.10440733283758163, epochs needed: 50
evaluating individudal 24 - 3380d0bfe8d29073. Mean loss in evaluation epoch: 0.10443267971277237, epochs needed: 50
evaluating individudal 25 - d8e24477d663a21c. Mean loss in evaluation epoch: 0.10478166490793228, epochs needed: 50
evaluating individudal 26 - 7f6ebed5201a6415. Mean loss in evaluation epoch: 0.10439608246088028, epochs needed: 50
evaluating individudal 27 - 967d371f8784ff4e. Mean loss in evaluation epoch: 0.10405739396810532, epochs needed: 50
evaluating individudal 28 - 7a098a2fd78ce399. Mean loss in evaluation epoch: 0.10611706227064133, epochs needed: 50
evaluating individudal 29 - b3a995cf38640b34. Mean loss in evaluation epoch: 0.10539937019348145, epochs needed: 50
evaluating individudal 30 - e74f15194e8b194e. Mean loss in evaluation epoch: 0.10482519119977951, epochs needed: 50
evaluating individudal 31 - 4bae0ed6c31ebd87. Mean loss in evaluation epoch: 0.1041986495256424, epochs needed: 50
evaluating individudal 32 - 6b4c72d0d5dfb695. Mean loss in evaluation epoch: 0.10345842689275742, epochs needed: 50
evaluating individudal 33 - 188ac3b06e9a62a6. Mean loss in evaluation epoch: 0.10445989668369293, epochs needed: 50
evaluating individudal 34 - 9bc126dcbe5697cd. Mean loss in evaluation epoch: 0.10577227920293808, epochs needed: 50
