num samples: 10000
NUM_TRAIN_SAMPLES: 9999
NUM_TRAIN_BATCHES: 100
NUM_TEST_SAMPLES: 9999
NUM_TEST_BATCHES: 100
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 20
IS_CONTINUOUS: False
USE_MAX: False
../data/final/netrd/SIS/timeseries_ba20_10k_0.1.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 20
NUM_DYN_EPOCHS_INIT: 20
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 1
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: timeseries
--------------------- Start training ------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 7559ee8acd05517c, num_times_seen_before: 1
ACC: 0.4736842105263158
TPR/FPR: 0.4444444444444444, 0.5194805194805194
Loss: 0.31675368547439575
Timestamp: 1543.361854910996
---------------------------------------------------------------
evaluating individudal 0 - e07613a3e0e1b32f. Mean loss in evaluation epoch: 0.318999707698822, epochs needed: 20
evaluating individudal 1 - 10661f5cb6e2b7e4. Mean loss in evaluation epoch: 0.3169373571872711, epochs needed: 20
evaluating individudal 2 - c22a1632135f14e2. Mean loss in evaluation epoch: 0.3181594908237457, epochs needed: 20
evaluating individudal 3 - 5bde9afd04751e88. Mean loss in evaluation epoch: 0.3181304335594177, epochs needed: 20
evaluating individudal 4 - 45ef8a75c5281585. Mean loss in evaluation epoch: 0.31801339983940125, epochs needed: 20
evaluating individudal 5 - 03a973e140415acf. Mean loss in evaluation epoch: 0.3180842995643616, epochs needed: 20
evaluating individudal 6 - 1b400228fad316d4. Mean loss in evaluation epoch: 0.31657207012176514, epochs needed: 20
evaluating individudal 7 - 76d9f4a664931ec7. Mean loss in evaluation epoch: 0.31851550936698914, epochs needed: 20
evaluating individudal 8 - 8d152865fb0587d2. Mean loss in evaluation epoch: 0.3187131881713867, epochs needed: 20
evaluating individudal 9 - 1dcfa2ae04126b45. Mean loss in evaluation epoch: 0.319225549697876, epochs needed: 20
evaluating individudal 10 - 85a810a8ace1fe23. Mean loss in evaluation epoch: 0.318499892950058, epochs needed: 20
evaluating individudal 11 - 0fe9236f7f78f243. Mean loss in evaluation epoch: 0.31713250279426575, epochs needed: 20
evaluating individudal 12 - 9a5f0ceef9c645fb. Mean loss in evaluation epoch: 0.3177963197231293, epochs needed: 20
evaluating individudal 13 - a329c9d30dba7d03. Mean loss in evaluation epoch: 0.3184295892715454, epochs needed: 20
evaluating individudal 14 - b60c50c7ba2edd8d. Mean loss in evaluation epoch: 0.3173627257347107, epochs needed: 20
evaluating individudal 15 - 1cb82f4cd691bb51. Mean loss in evaluation epoch: 0.3174479901790619, epochs needed: 20
evaluating individudal 16 - 2eccf5c7615c65c0. Mean loss in evaluation epoch: 0.31787919998168945, epochs needed: 20
evaluating individudal 17 - 052bae01f613f0b1. Mean loss in evaluation epoch: 0.3199569880962372, epochs needed: 20
evaluating individudal 18 - e13b2cffeabad366. Mean loss in evaluation epoch: 0.31762832403182983, epochs needed: 20
evaluating individudal 19 - e99b95778902d290. Mean loss in evaluation epoch: 0.31840866804122925, epochs needed: 20
evaluating individudal 20 - 5546f40f1710e8f4. Mean loss in evaluation epoch: 0.3183382451534271, epochs needed: 20
evaluating individudal 21 - 0b6efcf7d7f31d84. Mean loss in evaluation epoch: 0.31995558738708496, epochs needed: 20
evaluating individudal 22 - abc99105cd90c679. Mean loss in evaluation epoch: 0.31797897815704346, epochs needed: 20
evaluating individudal 23 - aa4d4699272271c4. Mean loss in evaluation epoch: 0.3169134557247162, epochs needed: 20
evaluating individudal 24 - de58c42853543117. Mean loss in evaluation epoch: 0.3193518817424774, epochs needed: 20
evaluating individudal 25 - 680d49d401659123. Mean loss in evaluation epoch: 0.3179360628128052, epochs needed: 20
evaluating individudal 26 - 278f781645b148bb. Mean loss in evaluation epoch: 0.31920772790908813, epochs needed: 20
evaluating individudal 27 - a1b42a10e0d8724a. Mean loss in evaluation epoch: 0.31903886795043945, epochs needed: 20
evaluating individudal 28 - 1ab6fe41a6a9dd12. Mean loss in evaluation epoch: 0.3171856701374054, epochs needed: 20
evaluating individudal 29 - 920bcb893405a13e. Mean loss in evaluation epoch: 0.31978628039360046, epochs needed: 20
evaluating individudal 30 - 82fc3fc84f1fb58b. Mean loss in evaluation epoch: 0.31688234210014343, epochs needed: 20
evaluating individudal 31 - 9147978dae0123f7. Mean loss in evaluation epoch: 0.3179965615272522, epochs needed: 20
evaluating individudal 32 - ec65baafd2e8e2d7. Mean loss in evaluation epoch: 0.3185337781906128, epochs needed: 20
evaluating individudal 33 - 171b60f7bf4eda01. Mean loss in evaluation epoch: 0.3178870975971222, epochs needed: 20
evaluating individudal 34 - a1a380a907be89bd. Mean loss in evaluation epoch: 0.3199901580810547, epochs needed: 20
