num samples: 10000
NUM_TRAIN_SAMPLES: 9999
NUM_TRAIN_BATCHES: 100
NUM_TEST_SAMPLES: 9999
NUM_TEST_BATCHES: 100
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 20
IS_CONTINUOUS: False
USE_MAX: False
../data/final/netrd/SIS/timeseries_ba20_10k_0.1.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 20
NUM_DYN_EPOCHS_INIT: 20
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 1
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: timeseries
--------------------- Start training ------------------------
evaluating individudal 10 - d3f4029fcaeb1fe5. Mean loss in evaluation epoch: 0.31815165281295776, epochs needed: 20
evaluating individudal 11 - dc1e124f02a5a084. Mean loss in evaluation epoch: 0.31669753789901733, epochs needed: 20
evaluating individudal 12 - 3951c819e20ec5f4. Mean loss in evaluation epoch: 0.31613415479660034, epochs needed: 20
evaluating individudal 13 - 6c99c374566ca8fd. Mean loss in evaluation epoch: 0.3172137439250946, epochs needed: 20
evaluating individudal 14 - 5f353c84737698ca. Mean loss in evaluation epoch: 0.31649771332740784, epochs needed: 20
evaluating individudal 15 - 4c43062fdbdd629a. Mean loss in evaluation epoch: 0.3162105977535248, epochs needed: 20
evaluating individudal 16 - 1dcb17a358dfb887. Mean loss in evaluation epoch: 0.31748905777931213, epochs needed: 20
evaluating individudal 17 - ff9d09c1e20a80cd. Mean loss in evaluation epoch: 0.3167484700679779, epochs needed: 20
evaluating individudal 18 - 4fafb147dea88ef4. Mean loss in evaluation epoch: 0.31729602813720703, epochs needed: 20
evaluating individudal 19 - 49306731d1e8fb46. Mean loss in evaluation epoch: 0.31785330176353455, epochs needed: 20
evaluating individudal 20 - 3b68951aea7c9031. Mean loss in evaluation epoch: 0.31860971450805664, epochs needed: 20
evaluating individudal 21 - 56860fe17c4dc0e3. Mean loss in evaluation epoch: 0.318014532327652, epochs needed: 20
evaluating individudal 22 - 498b91aa19f72500. Mean loss in evaluation epoch: 0.31578928232192993, epochs needed: 20
evaluating individudal 23 - 56d423917a75a9b9. Mean loss in evaluation epoch: 0.3175978660583496, epochs needed: 20
evaluating individudal 24 - 6f6678f3b98eb641. Mean loss in evaluation epoch: 0.3166823387145996, epochs needed: 20
evaluating individudal 25 - 81aec83ca56efb43. Mean loss in evaluation epoch: 0.31749746203422546, epochs needed: 20
evaluating individudal 26 - 92d91da37b3cc4b3. Mean loss in evaluation epoch: 0.3163088858127594, epochs needed: 20
evaluating individudal 27 - b776bb8336c548ae. Mean loss in evaluation epoch: 0.32001379132270813, epochs needed: 20
evaluating individudal 28 - dfd2ba34651b7a98. Mean loss in evaluation epoch: 0.3155209422111511, epochs needed: 20
evaluating individudal 29 - efca4f8123da79cc. Mean loss in evaluation epoch: 0.32050621509552, epochs needed: 20
evaluating individudal 30 - 22ca58e310bfba0b. Mean loss in evaluation epoch: 0.3176648020744324, epochs needed: 20
evaluating individudal 31 - 76555069b7cf8dff. Mean loss in evaluation epoch: 0.31566402316093445, epochs needed: 20
evaluating individudal 32 - af410ebd368e0bd2. Mean loss in evaluation epoch: 0.3167650103569031, epochs needed: 20
evaluating individudal 33 - 2989f4a0c9686e0d. Mean loss in evaluation epoch: 0.31657570600509644, epochs needed: 20
