num samples: 1000
NUM_TRAIN_SAMPLES: 1000
NUM_TRAIN_BATCHES: 10
NUM_TEST_SAMPLES: 1000
NUM_TEST_BATCHES: 10
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 200
IS_CONTINUOUS: True
USE_MAX: False
../data/final/cml/timeseries_ba20_1k_3.5_restart.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 200
NUM_DYN_EPOCHS_INIT: 200
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 1
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: standard
--------------------- Start training ------------------------
evaluating individudal 4 - f78b6b4a7afd806f. Mean loss in evaluation epoch: 0.043463654816150665, epochs needed: 200
evaluating individudal 5 - 32ea7fd093a303e4. Mean loss in evaluation epoch: 0.0363500714302063, epochs needed: 200
evaluating individudal 6 - c0db472645092111. Mean loss in evaluation epoch: 0.0375870019197464, epochs needed: 200
evaluating individudal 7 - adc066a67281eef6. Mean loss in evaluation epoch: 0.039256781339645386, epochs needed: 200
evaluating individudal 8 - f06e87a7476b6b0c. Mean loss in evaluation epoch: 0.044726233929395676, epochs needed: 200
evaluating individudal 9 - 87fb70cdd6304c4c. Mean loss in evaluation epoch: 0.0400354340672493, epochs needed: 200
evaluating individudal 10 - e9339ea5ba2154a1. Mean loss in evaluation epoch: 0.03495301306247711, epochs needed: 200
evaluating individudal 11 - 49763e2dc62b308c. Mean loss in evaluation epoch: 0.03638364374637604, epochs needed: 200
evaluating individudal 12 - a90adb8b0856515f. Mean loss in evaluation epoch: 0.04262017831206322, epochs needed: 200
evaluating individudal 13 - 6490b461fb5025f8. Mean loss in evaluation epoch: 0.03863779827952385, epochs needed: 200
evaluating individudal 14 - 3fa31c2f07b30bf0. Mean loss in evaluation epoch: 0.037404872477054596, epochs needed: 200
evaluating individudal 15 - 788da4b58c673b5a. Mean loss in evaluation epoch: 0.03791642561554909, epochs needed: 200
evaluating individudal 16 - 1d5c45b8fc0f0310. Mean loss in evaluation epoch: 0.03787307068705559, epochs needed: 200
evaluating individudal 17 - 7613ac8b6523d349. Mean loss in evaluation epoch: 0.036068595945835114, epochs needed: 200
evaluating individudal 18 - b84cb047fe83e365. Mean loss in evaluation epoch: 0.03618776798248291, epochs needed: 200
evaluating individudal 19 - 19cd1892ce47ce95. Mean loss in evaluation epoch: 0.04556811973452568, epochs needed: 200
evaluating individudal 20 - 10096e6b59de7ed1. Mean loss in evaluation epoch: 0.04296807199716568, epochs needed: 200
evaluating individudal 21 - df532e0dbee2632f. Mean loss in evaluation epoch: 0.04034694656729698, epochs needed: 200
evaluating individudal 22 - 9cca4c071bebfe60. Mean loss in evaluation epoch: 0.04075336456298828, epochs needed: 200
evaluating individudal 23 - a1db970533ce7d39. Mean loss in evaluation epoch: 0.03856049105525017, epochs needed: 200
evaluating individudal 24 - 1e45100224e37fd7. Mean loss in evaluation epoch: 0.035781700164079666, epochs needed: 200
evaluating individudal 25 - e15e11bfc5cbc381. Mean loss in evaluation epoch: 0.040033843368291855, epochs needed: 200
evaluating individudal 26 - 6485df550fb8f286. Mean loss in evaluation epoch: 0.03695939853787422, epochs needed: 200
evaluating individudal 27 - 4c56a6266415c5ca. Mean loss in evaluation epoch: 0.03700633719563484, epochs needed: 200
evaluating individudal 28 - 37678e5b0c5dbb90. Mean loss in evaluation epoch: 0.03643568977713585, epochs needed: 200
evaluating individudal 29 - dd870898473b05ea. Mean loss in evaluation epoch: 0.03865601122379303, epochs needed: 200
evaluating individudal 30 - 48bb1290e50098c6. Mean loss in evaluation epoch: 0.03772469609975815, epochs needed: 200
evaluating individudal 31 - 8803004c57dbfec1. Mean loss in evaluation epoch: 0.03866846114397049, epochs needed: 200
evaluating individudal 32 - 089ddace637e8424. Mean loss in evaluation epoch: 0.03848478943109512, epochs needed: 200
evaluating individudal 33 - 89e8cba9270ee1f9. Mean loss in evaluation epoch: 0.038392484188079834, epochs needed: 200
evaluating individudal 34 - 02b22a314db36480. Mean loss in evaluation epoch: 0.03902183100581169, epochs needed: 200
evaluating individudal 35 - 160b34e52e5b3d8c. Mean loss in evaluation epoch: 0.0357382707297802, epochs needed: 200
evaluating individudal 36 - d024c86a4d139dad. Mean loss in evaluation epoch: 0.0379742830991745, epochs needed: 200
evaluating individudal 37 - 6f80c8108c44377e. Mean loss in evaluation epoch: 0.04111754521727562, epochs needed: 200
evaluating individudal 38 - 99b305132e467d2a. 
