num samples: 1000
NUM_TRAIN_SAMPLES: 1000
NUM_TRAIN_BATCHES: 10
NUM_TEST_SAMPLES: 1000
NUM_TEST_BATCHES: 10
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 200
IS_CONTINUOUS: True
USE_MAX: False
../data/final/cml/timeseries_ba20_1k_3.5_restart.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 200
NUM_DYN_EPOCHS_INIT: 200
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 1
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: standard
--------------------- Start training ------------------------
evaluating individudal 30 - 29b62711fded7e38. Mean loss in evaluation epoch: 0.03827700391411781, epochs needed: 200
evaluating individudal 31 - c73c8d7a1f7058b0. Mean loss in evaluation epoch: 0.03960426524281502, epochs needed: 200
evaluating individudal 32 - ce98ea5bca4dac6c. Mean loss in evaluation epoch: 0.04301431402564049, epochs needed: 200
evaluating individudal 33 - eee2ecfec00bf4d2. Mean loss in evaluation epoch: 0.03992174193263054, epochs needed: 200
evaluating individudal 34 - e9867c1abb33a0b1. Mean loss in evaluation epoch: 0.03877905756235123, epochs needed: 200
evaluating individudal 35 - 0c6727c4a57c7a27. Mean loss in evaluation epoch: 0.04169211536645889, epochs needed: 200
evaluating individudal 36 - 9826eee04dd5c221. Mean loss in evaluation epoch: 0.039544861763715744, epochs needed: 200
evaluating individudal 37 - 3258f69047984953. Mean loss in evaluation epoch: 0.03934087976813316, epochs needed: 200
evaluating individudal 38 - 52dd1658bc7f254b. Mean loss in evaluation epoch: 0.04007425159215927, epochs needed: 200
evaluating individudal 39 - 58b519c7504a9fc1. Mean loss in evaluation epoch: 0.03861648961901665, epochs needed: 200
evaluating individudal 0 - 96308821e0ba122d. Mean loss in evaluation epoch: 0.03903299570083618, epochs needed: 200
evaluating individudal 1 - ee82214a1fd3c158. Mean loss in evaluation epoch: 0.03903522714972496, epochs needed: 200
evaluating individudal 2 - c7452d6762eef023. Mean loss in evaluation epoch: 0.04025138542056084, epochs needed: 200
evaluating individudal 3 - e030d68b914b4e83. Mean loss in evaluation epoch: 0.04446691274642944, epochs needed: 200
evaluating individudal 4 - e4fb3132f380bb07. Mean loss in evaluation epoch: 0.040738511830568314, epochs needed: 200
evaluating individudal 5 - 61d34b35b5aaf8cd. Mean loss in evaluation epoch: 0.04172014817595482, epochs needed: 200
evaluating individudal 6 - 96868084365db33d. Mean loss in evaluation epoch: 0.047113824635744095, epochs needed: 200
evaluating individudal 7 - 14fcfd338572cfb2. Mean loss in evaluation epoch: 0.04886483773589134, epochs needed: 200
evaluating individudal 8 - d0d98c8fd25ec41d. Mean loss in evaluation epoch: 0.04493081569671631, epochs needed: 200
evaluating individudal 9 - 5f24441b2d54bd5e. Mean loss in evaluation epoch: 0.04512104019522667, epochs needed: 200
Round 3 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 5413a2346d296425, num_times_seen_before: 0
ACC: 0.8157894736842105
TPR/FPR: 1.0, 0.22727272727272727
Loss: 0.03242881968617439
Timestamp: 7776.777083784982
---------------------------------------------------------------
evaluating individudal 0 - 7471fb336eee245a. Mean loss in evaluation epoch: 0.028428172692656517, epochs needed: 200
evaluating individudal 1 - 0054642c0a10bc1e. Mean loss in evaluation epoch: 0.031089818105101585, epochs needed: 200
evaluating individudal 2 - 4b481389d77b432c. Mean loss in evaluation epoch: 0.035130396485328674, epochs needed: 200
evaluating individudal 3 - f51916d370aa3a79. Mean loss in evaluation epoch: 0.03214588761329651, epochs needed: 200
evaluating individudal 4 - 9b394f37aaa97ec0. Mean loss in evaluation epoch: 0.030166421085596085, epochs needed: 200
evaluating individudal 5 - 147474b721f2f15d. Mean loss in evaluation epoch: 0.03122294321656227, epochs needed: 200
evaluating individudal 6 - 715922052105e68a. Mean loss in evaluation epoch: 0.037634290754795074, epochs needed: 200
evaluating individudal 7 - c663adcff9f0489d. Mean loss in evaluation epoch: 0.03816340118646622, epochs needed: 200
evaluating individudal 8 - ced861408f3be767. Mean loss in evaluation epoch: 0.03456037864089012, epochs needed: 200
evaluating individudal 9 - d8788e71ccdcc7f6. Mean loss in evaluation epoch: 0.03872197866439819, epochs needed: 200
evaluating individudal 10 - ac4707668cb9cbdd. Mean loss in evaluation epoch: 0.032943274825811386, epochs needed: 200
evaluating individudal 11 - 2225364d59e4c29b. Mean loss in evaluation epoch: 0.0309376809746027, epochs needed: 200
evaluating individudal 12 - 1325b99d1b274ac1. Mean loss in evaluation epoch: 0.02690853737294674, epochs needed: 200
evaluating individudal 13 - 749c1825a5f47246. Mean loss in evaluation epoch: 0.031039554625749588, epochs needed: 200
evaluating individudal 14 - 81ac8dd48f2d40e3. Mean loss in evaluation epoch: 0.036766111850738525, epochs needed: 200
evaluating individudal 15 - d6d5554adb50d680. Mean loss in evaluation epoch: 0.03505371883511543, epochs needed: 200
evaluating individudal 16 - 8e98fdc0d680caa0. Mean loss in evaluation epoch: 0.034765876829624176, epochs needed: 200
evaluating individudal 17 - 0eb9ca8ae3ee342b. Mean loss in evaluation epoch: 0.03144839406013489, epochs needed: 200
evaluating individudal 18 - 75580bc5ff5174a2. Mean loss in evaluation epoch: 0.03764402121305466, epochs needed: 200
evaluating individudal 19 - 56a94972b18f9a8b. Mean loss in evaluation epoch: 0.033170219510793686, epochs needed: 200
evaluating individudal 20 - 638d164eaceeec1f. Mean loss in evaluation epoch: 0.030157113447785378, epochs needed: 200
evaluating individudal 21 - e0b5ee8422c6ead7. Mean loss in evaluation epoch: 0.030897168442606926, epochs needed: 200
evaluating individudal 22 - 1a894b7ee1506dee. Mean loss in evaluation epoch: 0.03458983823657036, epochs needed: 200
evaluating individudal 23 - be9aa8bba9caa70b. Mean loss in evaluation epoch: 0.040218453854322433, epochs needed: 200
evaluating individudal 24 - a5238553afe4d6ac. Mean loss in evaluation epoch: 0.03968755528330803, epochs needed: 200
evaluating individudal 25 - db6a7f592ee83fd8. Mean loss in evaluation epoch: 0.03255559131503105, epochs needed: 200
evaluating individudal 26 - ff831dc0dd3c76cc. Mean loss in evaluation epoch: 0.033156782388687134, epochs needed: 200
evaluating individudal 27 - 8ba841f3b0c29abe. Mean loss in evaluation epoch: 0.031142428517341614, epochs needed: 200
evaluating individudal 28 - 7ca9e232f29a1d18. Mean loss in evaluation epoch: 0.02862579934298992, epochs needed: 200
evaluating individudal 29 - 91ddc23829e82cf9. Mean loss in evaluation epoch: 0.03273434564471245, epochs needed: 200
evaluating individudal 30 - 753b2f7acdba2982. Mean loss in evaluation epoch: 0.031190330162644386, epochs needed: 200
evaluating individudal 31 - 5d5846ce4fefec56. Mean loss in evaluation epoch: 0.0353739932179451, epochs needed: 200
evaluating individudal 32 - cceff9d58ac1ee0c. Mean loss in evaluation epoch: 0.03199966624379158, epochs needed: 200
evaluating individudal 33 - 7a6bb69be2748552. Mean loss in evaluation epoch: 0.024680420756340027, epochs needed: 200
evaluating individudal 34 - b110e51decfaae87. Mean loss in evaluation epoch: 0.03228387236595154, epochs needed: 200
