num samples: 10000
NUM_TRAIN_SAMPLES: 9999
NUM_TRAIN_BATCHES: 100
NUM_TEST_SAMPLES: 9999
NUM_TEST_BATCHES: 100
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 20
IS_CONTINUOUS: False
USE_MAX: False
../data/final/netrd/SIS/timeseries_ba20_10k_0.1.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 20
NUM_DYN_EPOCHS_INIT: 20
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 1
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: timeseries
--------------------- Start training ------------------------
evaluating individudal 21 - bfc0fe1fdf81e0ff. Mean loss in evaluation epoch: 0.31899896264076233, epochs needed: 20
evaluating individudal 22 - 1d0ac5e685eca170. Mean loss in evaluation epoch: 0.3170190751552582, epochs needed: 20
evaluating individudal 23 - 527bba78623bfed3. Mean loss in evaluation epoch: 0.3182818591594696, epochs needed: 20
evaluating individudal 24 - 9ab375bc24071ec3. Mean loss in evaluation epoch: 0.31827181577682495, epochs needed: 20
evaluating individudal 25 - d0da0c51ed7d2e2d. Mean loss in evaluation epoch: 0.31996673345565796, epochs needed: 20
evaluating individudal 26 - e339579154c13bcf. Mean loss in evaluation epoch: 0.31908029317855835, epochs needed: 20
evaluating individudal 27 - 5450ba75bd90761c. Mean loss in evaluation epoch: 0.31866466999053955, epochs needed: 20
evaluating individudal 28 - 8d9b1bf48c7663d6. Mean loss in evaluation epoch: 0.3182528018951416, epochs needed: 20
evaluating individudal 29 - a8f9dc8c1cf1b6d5. Mean loss in evaluation epoch: 0.3191963732242584, epochs needed: 20
evaluating individudal 30 - ad779102fc91dd19. Mean loss in evaluation epoch: 0.3177492320537567, epochs needed: 20
evaluating individudal 31 - 8f91429c86335e1e. Mean loss in evaluation epoch: 0.31910139322280884, epochs needed: 20
evaluating individudal 32 - 4dea465dfdcb2fea. Mean loss in evaluation epoch: 0.32078468799591064, epochs needed: 20
evaluating individudal 33 - 7ead090f1706b93f. Mean loss in evaluation epoch: 0.31804174184799194, epochs needed: 20
